Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Albion,"Albion Browns Post #590 American Legion, Inc.",130905306,4,1121798.86,1049207.09,72591.77,193268,120676.23,72591.77,25407.17,21670.82,3736.35
Albion,"Edwards County Memorial Post #8222 Veterans Of Foreign Wars of the United States, Inc.",130903919,4,376609.89,351695.39,24914.5,79330,54414.83,24915.17,8720.37,7437.98,1282.39
Albion,"Spare Time, LLC",180701445,6,290342.52,266267.68,24074.84,90126,66051.16,24074.84,8426.28,7187.12,1239.16
Aledo,Aledo HJ INC,240701095,6,98151.84,89712.48,8439.36,40280,31840.64,8439.36,2953.82,2519.42,434.4
Aledo,CASEY'S RETAIL COMPANY,210701098,6,818528.29,746653.58,71874.71,254939,183064.29,71874.71,25156.23,21456.78,3699.45
Aledo,Cheers on Main LLC,190703515,6,1191493.16,1085662.58,105830.58,400905,295074.42,105830.58,37040.91,31593.72,5447.19
Aledo,"FERG'S PUBLIC HOUSE, INC.",170702358,6,148568.97,135477.27,13091.7,51167,38075.01,13091.99,4582.25,3908.38,673.87
Aledo,Mac's Convenience Stores LLC,170704043,5,985141.05,891907.35,93233.7,246708,153474.2,93233.8,32632.05,27833.23,4798.82
Aledo,"Mercer County Post No.1571, Veterans of Foreign Wars of The United States",120910348,4,66855.62,59801.29,7054.33,20274,13219.67,7054.33,2469.01,2105.93,363.08
Aledo,"Nolam, Inc.",120710598,6,1227945.15,1140986.72,86958.43,359640,272680.89,86959.11,30435.82,25959.95,4475.87
Aledo,Oak View Country Club,120709717,3,48689.56,42964.85,5724.71,17854,12128.89,5725.11,2003.81,1709.13,294.68
Alexander County,"Cop Brothers, LLC",180702272,6,865105.66,795636.94,69468.72,278474,209005.28,69468.72,24314.15,20738.54,3575.61
Alexander County,"Fill - Up Mart, Inc.",240700089,6,1398729.55,1261044.69,137684.86,452512,314827.14,137684.86,48189.78,41103.05,7086.73
Alexander County,"Horseshoe Bar & Grill, LLC",170700016,4,952646.26,879418.21,73228.05,359680,286451.95,73228.05,25629.87,21860.77,3769.1
Alexis,"Allgeyer, LLC",170704137,4,792473.14,713403.59,79069.55,349512,270442.45,79069.55,27674.44,23604.67,4069.77
Alexis,TROUT INCORPORATED,180703627,4,288280.43,266990.29,21290.14,101442,80151.86,21290.14,7451.58,6355.78,1095.8
Algonquin,ALGONQUIN SUSHI KING INC.,160702801,5,833391.11,783143.02,50248.09,242319,192070.91,50248.09,17586.82,15000.52,2586.3
Algonquin,Antigua Mexican Brunch & Grill Inc.,240700403,5,189882.39,172221.31,17661.08,75769,58107.82,17661.18,6181.4,5272.37,909.03
Algonquin,"Bellas Woodfire, Inc.",230700834,5,110841.75,110118.85,722.9,43324,42601.1,722.9,253.01,215.79,37.22
Algonquin,"Bull's Eye Pub & Eatery, LLC",190700461,5,811244.41,724275.29,86969.12,306964,219994.88,86969.12,30439.55,25963.16,4476.39
Algonquin,"Cattlemans Burger & Brew, Inc.",190700240,5,942589.69,861941.05,80648.64,345029,264379.61,80649.39,28227.45,24076.37,4151.08
Algonquin,CHINA DRAGON 1 INCORPORATED,170701581,5,1001866.92,897340.22,104526.7,348526,243998.85,104527.15,36584.65,31204.57,5380.08
Algonquin,"Colatorti, Inc.",180702263,5,384658.61,355223.49,29435.12,152507,123071.88,29435.12,10302.49,8787.41,1515.08
Algonquin,"Donkey Inn Bar And Grill, Inc.",170701818,6,2502280.17,2230440.05,271840.12,931652,659811.8,271840.2,95144.28,81152.49,13991.79
Algonquin,"Flappy's Pancake House & Restaurant, Inc.",230702669,4,30415.38,24009.33,6406.05,12523,6116.95,6406.05,2242.12,1912.4,329.72
Algonquin,"GCI Consolidated, LLC",130704024,5,1671237.5,1532276.04,138961.46,614873,475911.54,138961.46,48636.6,41484.17,7152.43
Algonquin,HBJ Corp.,160703581,5,1256445.67,1123301.39,133144.28,484939,351794.72,133144.28,46600.61,39747.58,6853.03
Algonquin,"Iron Horse Bar & Grill, Inc.",150701853,6,1769147.56,1583552.44,185595.12,599504,413908.88,185595.12,64958.45,55405.74,9552.71
Algonquin,"JTATB, Inc.",120703481,4,1910236.24,1734934.73,175301.51,704723,529421.49,175301.51,61355.74,52332.85,9022.89
Algonquin,"LEISERV, LLC",140701296,5,772523.23,709890.74,62632.49,273728,211095.51,62632.49,21921.59,18697.83,3223.76
Algonquin,MATAJINI MVP LLC,240701912,5,297125.51,266445.18,30680.33,120729,90048.67,30680.33,10738.12,9158.99,1579.13
Algonquin,"PPB RESTAURANT, INC.",130702313,5,949684.26,862629.02,87055.24,317686,230630.76,87055.24,30469.5,25988.7,4480.8
Algonquin,Tap House Grill Algonquin LLC,210703077,5,353912.52,322487.95,31424.57,122814,91388.99,31425.01,10998.79,9381.34,1617.45
Algonquin,"Ziya's Port Ed Restaurant, Inc.",230701899,5,480041.47,433792.07,46249.4,171788,125538.87,46249.13,16187.32,13806.84,2380.48
Alhambra,Brian E. Lutz,120700318,4,159652.32,142729.11,16923.21,50389,33465.79,16923.21,5923.08,5052.04,871.04
Alhambra,"Maedge's Mini Mart, LLC",120700552,5,809567.95,748141.51,61426.44,266095,204668.71,61426.29,21499.38,18337.7,3161.68
Alhambra,"Slots & Slices, Inc.",220700072,6,238690.61,222465.49,16225.12,91281,75055.63,16225.37,5678.97,4843.83,835.14
Alma,Sporty's Gaming LLC,240701314,6,1561846.75,1436270.56,125576.19,531211,405634.81,125576.19,43951.81,37488.32,6463.49
Alpha,"GURAYA, INC.",190700599,5,928356.22,843863.96,84492.26,289335,204842.82,84492.18,29572.38,25223.5,4348.88
Alpha,"NUTTYPRISES, LLC",220703679,6,1267200.83,1166246.26,100954.57,467343,366388.43,100954.57,35334.25,30138.04,5196.21
Alsey,"Back Door Gaming And Collectibles, Inc.",180700007,6,904341.01,821847.82,82493.19,340724,258230.57,82493.43,28872.77,24626.78,4245.99
Alsey,"Grand Slam Bar & Grill, LLC",200702448,6,635639.38,583046.55,52592.83,213303,160709.67,52593.33,18407.7,15700.69,2707.01
Alsip,"5025 ALSIP, CORP.",210701554,5,2276121.07,2026252.05,249869.02,751566,501696.98,249869.02,87454.33,74593.41,12860.92
